time,open,high,low,close,tick_volume,spread,real_volume
2025-03-27 23:15:00,3054.577,3055.361,3054.577,3054.91,185,0,0
2025-03-27 23:20:00,3054.9,3055.062,3054.214,3054.7,212,0,0
2025-03-27 23:25:00,3054.695,3054.845,3054.34,3054.718,196,0,0
2025-03-27 23:30:00,3054.617,3055.138,3054.311,3054.54,255,0,0
2025-03-27 23:35:00,3054.567,3055.04,3054.517,3055.04,170,0,0
2025-03-27 23:40:00,3055.04,3055.345,3054.727,3055.345,233,0,0
2025-03-27 23:45:00,3055.269,3056.125,3055.093,3055.854,273,0,0
2025-03-27 23:50:00,3055.851,3055.915,3054.873,3055.605,276,0,0
2025-03-27 23:55:00,3055.609,3056.236,3055.583,3055.79,247,0,0
2025-03-28 00:00:00,3055.806,3057.176,3055.073,3057.176,377,0,0
2025-03-28 00:05:00,3057.17,3059.929,3057.133,3059.929,606,0,0
2025-03-28 00:10:00,3059.843,3062.077,3057.985,3058.384,984,0,0
2025-03-28 00:15:00,3058.347,3060.381,3058.11,3060.381,683,0,0
2025-03-28 00:20:00,3060.331,3062.932,3059.969,3062.742,708,0,0
2025-03-28 00:25:00,3062.701,3063.571,3062.014,3062.164,741,0,0
2025-03-28 00:30:00,3062.122,3062.989,3061.415,3062.473,765,0,0
2025-03-28 00:35:00,3062.492,3062.679,3060.825,3061.513,619,0,0
2025-03-28 00:40:00,3061.55,3061.992,3060.989,3061.702,439,0,0
2025-03-28 00:45:00,3061.718,3062.378,3061.148,3062.0,370,0,0
2025-03-28 00:50:00,3062.026,3063.05,3062.026,3062.212,464,0,0
2025-03-28 00:55:00,3062.182,3062.749,3061.864,3062.057,387,0,0
2025-03-28 01:00:00,3062.017,3064.294,3061.888,3064.294,1324,0,0
2025-03-28 01:05:00,3064.319,3065.096,3063.15,3064.883,1081,0,0
2025-03-28 01:10:00,3064.922,3066.387,3064.398,3066.187,518,0,0
2025-03-28 01:15:00,3066.153,3066.758,3065.303,3065.716,856,0,0
2025-03-28 01:20:00,3065.691,3066.177,3064.237,3065.808,761,0,0
2025-03-28 01:25:00,3065.81,3065.979,3064.938,3065.784,614,0,0
2025-03-28 01:30:00,3065.822,3069.046,3065.822,3066.65,894,0,0
2025-03-28 01:35:00,3066.676,3068.126,3066.325,3067.025,828,0,0
2025-03-28 01:40:00,3067.049,3069.469,3066.696,3068.766,683,0,0
2025-03-28 01:45:00,3068.787,3072.526,3068.365,3071.994,1042,0,0
2025-03-28 01:50:00,3072.038,3072.928,3070.948,3072.456,1123,0,0
2025-03-28 01:55:00,3072.487,3074.138,3071.697,3073.985,1045,0,0
2025-03-28 02:00:00,3073.954,3075.636,3072.751,3075.166,974,0,0
2025-03-28 02:05:00,3075.162,3077.139,3074.61,3076.878,916,0,0
2025-03-28 02:10:00,3076.879,3077.582,3073.791,3073.956,984,0,0
2025-03-28 02:15:00,3073.964,3075.59,3073.66,3074.936,626,0,0
2025-03-28 02:20:00,3074.968,3076.054,3074.357,3075.858,624,0,0
2025-03-28 02:25:00,3075.916,3077.65,3074.972,3075.614,985,0,0
2025-03-28 02:30:00,3075.533,3075.755,3071.928,3072.27,1037,0,0
2025-03-28 02:35:00,3072.215,3072.919,3071.19,3072.368,782,0,0
2025-03-28 02:40:00,3072.329,3072.329,3071.104,3071.299,630,0,0
2025-03-28 02:45:00,3071.304,3071.881,3070.141,3071.738,741,0,0
2025-03-28 02:50:00,3071.701,3072.061,3070.503,3071.643,692,0,0
2025-03-28 02:55:00,3071.686,3072.72,3071.219,3072.002,672,0,0
2025-03-28 03:00:00,3071.96,3072.597,3071.48,3071.553,680,0,0
2025-03-28 03:05:00,3071.619,3072.409,3070.494,3071.257,637,0,0
2025-03-28 03:10:00,3071.224,3072.165,3070.738,3071.19,621,0,0
2025-03-28 03:15:00,3071.216,3071.396,3070.02,3070.352,618,0,0
2025-03-28 03:20:00,3070.38,3072.299,3070.044,3072.253,561,0,0
2025-03-28 03:25:00,3072.256,3074.124,3072.187,3073.825,730,0,0
2025-03-28 03:30:00,3073.865,3074.24,3069.725,3071.174,756,0,0
2025-03-28 03:35:00,3071.137,3073.52,3070.501,3073.044,569,0,0
2025-03-28 03:40:00,3073.056,3073.071,3072.16,3072.461,439,0,0
2025-03-28 03:45:00,3072.532,3074.281,3072.394,3074.074,498,0,0
2025-03-28 03:50:00,3074.086,3074.586,3073.486,3074.315,556,0,0
2025-03-28 03:55:00,3074.381,3076.782,3074.12,3075.406,769,0,0
2025-03-28 04:00:00,3075.33,3075.502,3074.266,3074.295,610,0,0
2025-03-28 04:05:00,3074.3,3074.336,3073.401,3073.772,379,0,0
2025-03-28 04:10:00,3073.763,3073.763,3072.607,3072.884,399,0,0
2025-03-28 04:15:00,3072.892,3074.09,3072.729,3073.917,418,0,0
2025-03-28 04:20:00,3073.917,3074.026,3073.179,3073.763,394,0,0
2025-03-28 04:25:00,3073.767,3074.258,3073.488,3074.131,340,0,0
2025-03-28 04:30:00,3074.134,3074.336,3073.129,3073.391,399,0,0
2025-03-28 04:35:00,3073.427,3074.499,3073.427,3074.281,362,0,0
2025-03-28 04:40:00,3074.25,3075.426,3073.557,3073.692,653,0,0
2025-03-28 04:45:00,3073.724,3073.983,3072.893,3073.379,484,0,0
2025-03-28 04:50:00,3073.383,3073.691,3072.908,3073.204,333,0,0
2025-03-28 04:55:00,3073.244,3074.036,3072.827,3073.971,317,0,0
2025-03-28 05:00:00,3073.917,3074.608,3073.809,3074.189,366,0,0
2025-03-28 05:05:00,3074.257,3074.649,3073.819,3074.086,369,0,0
2025-03-28 05:10:00,3074.094,3074.094,3072.526,3072.99,462,0,0
2025-03-28 05:15:00,3072.923,3074.414,3072.916,3074.328,401,0,0
2025-03-28 05:20:00,3074.348,3075.848,3074.032,3075.68,462,0,0
2025-03-28 05:25:00,3075.644,3076.803,3075.126,3076.437,551,0,0
2025-03-28 05:30:00,3076.453,3078.032,3075.963,3077.837,784,0,0
2025-03-28 05:35:00,3077.852,3078.107,3077.123,3077.197,428,0,0
2025-03-28 05:40:00,3077.226,3079.393,3076.96,3078.015,659,0,0
2025-03-28 05:45:00,3078.051,3079.851,3077.133,3077.588,849,0,0
2025-03-28 05:50:00,3077.545,3080.04,3077.257,3079.569,837,0,0
2025-03-28 05:55:00,3079.613,3082.091,3077.885,3077.913,1100,0,0
2025-03-28 06:00:00,3077.889,3079.945,3076.703,3079.945,1077,0,0
2025-03-28 06:05:00,3079.906,3082.884,3079.582,3081.346,819,0,0
2025-03-28 06:10:00,3081.311,3081.891,3080.244,3080.534,692,0,0
2025-03-28 06:15:00,3080.515,3081.066,3079.269,3079.768,926,0,0
2025-03-28 06:20:00,3079.743,3080.803,3079.366,3080.554,599,0,0
2025-03-28 06:25:00,3080.585,3082.03,3080.169,3081.946,781,0,0
